opposite sign                            	nevts: 771/447/664/585/2467
1	7835	2349991
1	7835	2350008
1	7835	2350013
1	7835	2350014
1	7835	2350015
1	7835	2350024
1	7835	2350026
1	7835	2350040
1	7835	2350042
1	7835	2350061
1	7835	2350067
1	7835	2350083
1	7841	2351606
1	7841	2351615
1	7841	2351619
1	7841	2351633
1	7841	2351650
1	7841	2351660
1	7841	2351667
1	7841	2351672
1	7841	2351686
1	7841	2351692
1	7841	2351715
1	7841	2351724
1	7841	2351750
1	7841	2351751
1	7841	2351754
1	7841	2351762
1	7841	2351780
1	7841	2351800
1	7841	2351833
1	7841	2351851
1	7841	2351853
1	7841	2351862
1	7841	2351874
1	7841	2351892
1	7841	2351893
1	7842	2351909
1	7842	2351926
1	7842	2351936
1	7842	2351944
1	7842	2351948
1	7842	2351951
1	7842	2351954
1	7842	2351958
1	7842	2351986
1	7842	2351994
1	7842	2352001
1	7842	2352006
1	7842	2352011
1	7842	2352014
1	7842	2352015
1	7842	2352036
1	7842	2352038
1	7842	2352051
1	7842	2352053
1	7842	2352056
1	7842	2352063
1	7842	2352098
1	7842	2352101
1	7842	2352103
1	7842	2352106
1	7842	2352113
1	7842	2352126
1	7842	2352133
1	7842	2352135
1	7842	2352138
1	7842	2352158
1	7842	2352175
1	7846	2353106
1	7846	2353109
1	7846	2353126
1	7846	2353133
1	7846	2353134
1	7846	2353149
1	7846	2353153
1	7846	2353157
1	7846	2353165
1	7846	2353192
1	7846	2353193
1	7846	2353214
1	7846	2353226
1	7846	2353235
1	7846	2353249
1	7846	2353257
1	7846	2353260
1	7846	2353266
1	7846	2353298
1	7846	2353300
1	7846	2353317
1	7846	2353335
1	7846	2353339
1	7846	2353343
1	7846	2353348
1	7846	2353355
1	7846	2353376
1	7851	2354601
1	7851	2354605
1	7851	2354607
1	7851	2354608
1	7851	2354617
1	7851	2354630
1	7851	2354642
1	7851	2354647
1	7851	2354651
1	7851	2354653
1	7851	2354656
1	7851	2354658
1	7851	2354677
1	7851	2354678
1	7851	2354683
1	7851	2354689
1	7851	2354692
1	7851	2354698
1	7851	2354704
1	7851	2354727
1	7851	2354735
1	7851	2354773
1	7851	2354777
1	7851	2354778
1	7851	2354789
1	7851	2354790
1	7851	2354855
1	7851	2354865
1	7851	2354866
1	7851	2354884
1	7851	2354887
1	7851	2354889
1	7851	2354890
1	7851	2354892
1	7867	2359407
1	7867	2359418
1	7867	2359421
1	7867	2359426
1	7867	2359427
1	7867	2359430
1	7867	2359433
1	7867	2359447
1	7867	2359464
1	7867	2359467
1	7867	2359484
1	7867	2359486
1	7867	2359498
1	7867	2359513
1	7867	2359514
1	7867	2359517
1	7867	2359525
1	7867	2359530
1	7867	2359533
1	7867	2359556
